Movie Name,Release Period,whether franchise ,Genre,new actor,new director,new music ,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),Verdict
Golden Boys,1,0,suspense,1,0,0,Jeet Goswami,Ravi Varma,Baba Jagirdar,5,5000000.0,85000.0,0
Kaccha Limboo,0,0,drama,1,0,1,Karan Bhanushali,Sagar Ballary,Amardeep Nijjer,75,15000000.0,825000.0,0
Not A Love Story,0,0,thriller,0,0,0,Mahie Gill,Ram Gopal Verma,Sandeep Chowta,525,75000000.0,56700000.0,1
Qaidi Band,0,0,drama,1,0,0,Aadar Jain,Habib Faisal,Amit Trivedi,800,210000000.0,4500000.0,0
Chaatwali,0,0,adult,1,1,1,Aadil Khan,Aadil Khan,Babloo Ustad,1,1000000.0,1075000.0,2
Shuttlecock Boys,1,0,comedy,1,1,1,Aakar Kaushik,Hemant Gaba,Avinash Baghel,10,5000000.0,170000.0,0
Dirty Marriage,0,0,adult,1,0,1,Aakash,Priyanka,Dharma,2,1500000.0,35000.0,0
Future To Bright Hai Ji,0,0,drama,0,1,1,Aamir Bashir,Sanjay Amar,Amir Ali,30,15000000.0,825000.0,0
Ghajini,0,0,action,0,1,0,Aamir Khan,A.R. Murugadoss,A.R. Rehman,1550,520000000.0,1945820000.0,3
Taare Zameen Par,0,0,drama,0,1,0,Aamir Khan,Aamir Khan,Shankar - Ehsaan - Loy,500,180000000.0,875785000.0,3
Mangal Pandey - The Rising,0,0,drama,0,0,0,Aamir Khan,Ketan Mehta,A.R. Rehman,675,370000000.0,525785000.0,2
Fanaa,1,0,love_story,0,0,0,Aamir Khan,Kunal Kohli,Jatin - Lalit,650,300000000.0,1054800000.0,3
Dangal,0,0,drama,0,0,0,Aamir Khan,Nitish Tiwari,Pritam,4250,1320000000.0,7024750000.0,3
3 Idiots,0,0,drama,0,0,0,Aamir Khan,Rajkumar Hirani,Shantanu Moitra,1750,770000000.0,3491035000.0,3
PK,1,0,drama,0,0,0,Aamir Khan,Rajkumar Hirani,Ajay - Atul,3600,1220000000.0,6160362500.0,3
Rang De Basanti,0,0,drama,0,0,0,Aamir Khan,Rakesh Omprakash Mehra,A.R. Rehman,600,280000000.0,979080000.0,3
Talaash,1,0,thriller,0,0,0,Aamir Khan,Reema Kagti,Ram Sampath,2550,710000000.0,1729717500.0,3
Dhoom 3,1,1,action,0,0,0,Aamir Khan,Vijay Krishna Acharya,Pritam,3650,1750000000.0,5243760000.0,3
Pyaar Mein Aisa Hota Hai,0,0,thriller,1,1,1,Aanamika Bawa,Rajesh Kumar,Shabab Azmi,5,5500000.0,350000.0,0
Gurjar Aandolan - A Fight For Right,1,0,drama,1,1,1,Aarun Nagar,Aarun Nagar,Ashish Donald,5,6500000.0,575000.0,0
Yehi Hai High Society,0,0,thriller,0,0,0,Aaryan,Ravi Sinha,S. Paul,20,6500000.0,4000000.0,0
Say Yes To Love,1,0,love_story,1,0,0,Aasad Mirza,Mahrukh Mirza,Jatin Pandit,30,17500000.0,525000.0,0
Dreams - Sapnay Sach Honge...,0,0,love_story,1,1,0,Aashish Chanana,Aashish Chanana,Sajid - Wajid,25,12500000.0,1375000.0,0
Three - Love Lies Betrayal,1,0,thriller,0,1,0,Aashish Chaudhary,Vishal Pandya,Chirantan Bhatt,325,40000000.0,10000000.0,0
Malegaon Me Gadbad Ghotala,1,0,comedy,1,1,0,Aasif Albela,Anwar Shaikh,Sahil Patil,5,1000000.0,300000.0,0
Khota Sikka - Jaat Ke Thaath,1,0,comedy,1,1,1,Aatri Kumar,Ram Pratap Singh,Udbhav,50,9000000.0,600000.0,0
Hi Fi Log,0,0,adult,1,1,0,Abhay Bakshi,Baba Jagirdar,Baba Jagirdar,2,1500000.0,500000.0,0
Dev D,0,0,drama,0,0,0,Abhay Deol,Anurag Kashyap,Amit Trivedi,525,110000000.0,208200000.0,2
One By Two,1,0,rom__com,0,1,0,Abhay Deol,Devika Bhagat,Shankar - Ehsaan - Loy,500,210000000.0,37700000.0,0
Oye Lucky! Lucky Oye!,1,0,comedy,0,0,0,Abhay Deol,Dibakar Banerjee,Sneha Khanwalkar,400,120000000.0,100620000.0,1
Socha Na Tha,0,0,rom__com,1,1,0,Abhay Deol,Imtiaz Ali,Sandesh Shandilya,110,50000000.0,52800000.0,2
Happy Bhaag Jayegi,1,0,rom__com,0,0,0,Abhay Deol,Mudassar Aziz,Sohail Sen,1000,200000000.0,391500000.0,2
Manorama Six Feet Under,1,0,suspense,0,1,1,Abhay Deol,Navdeep Singh,Jayesh Gandhi,75,32500000.0,5800000.0,0
Honeymoon Travels Pvt. Ltd.,1,0,rom__com,0,1,0,Abhay Deol,Reema Kagti,Vishal - Shekhar,350,100000000.0,195160000.0,2
Ek Chalis Ki Last Local,1,0,comedy,0,1,0,Abhay Deol,Sanjay Khanduri,Sandesh Shandilya,140,35000000.0,25000000.0,0
