Movie Name,Release Period,Release Period2,Release Period3,Whether Remake,whether franchise ,Whether Franchise,Genre,new actor,New Actor2,new director,New Director2,new music ,New Music Director,Lead Star,Director,Music Director,Number of Screens,Budget(INR),Revenue(INR),Verdict
Golden Boys,1,Normal,0,No,0,No,suspense,1,Yes,0,No,0,No,Jeet Goswami,Ravi Varma,Baba Jagirdar,5,"₹ 50,00,000.00","₹ 85,000.00",Flop
Kaccha Limboo,0,Holiday,0,No,0,No,drama,1,Yes,0,No,1,Yes,Karan Bhanushali,Sagar Ballary,Amardeep Nijjer,75,"₹ 1,50,00,000.00","₹ 8,25,000.00",Flop
Not A Love Story,0,Holiday,0,No,0,No,thriller,0,No,0,No,0,No,Mahie Gill,Ram Gopal Verma,Sandeep Chowta,525,"₹ 7,50,00,000.00","₹ 5,67,00,000.00",Average
Qaidi Band,0,Holiday,0,No,0,No,drama,1,Yes,0,No,0,No,Aadar Jain,Habib Faisal,Amit Trivedi,800,"₹ 21,00,00,000.00","₹ 45,00,000.00",Flop
Chaatwali,0,Holiday,0,No,0,No,adult,1,Yes,1,Yes,1,Yes,Aadil Khan,Aadil Khan,Babloo Ustad,1,"₹ 10,00,000.00","₹ 10,75,000.00",Hit
Shuttlecock Boys,1,Normal,0,No,0,No,comedy,1,Yes,1,Yes,1,Yes,Aakar Kaushik,Hemant Gaba,Avinash Baghel,10,"₹ 50,00,000.00","₹ 1,70,000.00",Flop
Dirty Marriage,0,Holiday,0,No,0,No,adult,1,Yes,0,No,1,Yes,Aakash,Priyanka,Dharma,2,"₹ 15,00,000.00","₹ 35,000.00",Flop
Future To Bright Hai Ji,0,Holiday,0,No,0,No,drama,0,No,1,Yes,1,Yes,Aamir Bashir,Sanjay Amar,Amir Ali,30,"₹ 1,50,00,000.00","₹ 8,25,000.00",Flop
Ghajini,0,Holiday,1,Yes,0,No,action,0,No,1,Yes,0,No,Aamir Khan,A.R. Murugadoss,A.R. Rehman,1550,"₹ 52,00,00,000.00","₹ 1,94,58,20,000.00",Blockbuster
Taare Zameen Par,0,Holiday,0,No,0,No,drama,0,No,1,Yes,0,No,Aamir Khan,Aamir Khan,Shankar - Ehsaan - Loy,500,"₹ 18,00,00,000.00","₹ 87,57,85,000.00",Blockbuster
Mangal Pandey - The Rising,0,Holiday,0,No,0,No,drama,0,No,0,No,0,No,Aamir Khan,Ketan Mehta,A.R. Rehman,675,"₹ 37,00,00,000.00","₹ 52,57,85,000.00",Hit
